cidade,ano,estado,regiao,taxa_deposito,pib,pib_percapita,saude,saude_percapita,endividamento,idade_media,populacao,spread,id
United Kingdom,7/1/05 0:00,Europe,European Union,,"$2,280.54B",$37.9K,8,$0.0B,5,79,"60,224,307",,1148
Spain,7/1/05 0:00,Europe,European Union,,"$1,130.80B",$26.1K,8,$0.0B,,80,"43,398,143",,1149
Malta,7/1/05 0:00,Europe,European Union,3,$5.98B,$14.8K,8,$0.0B,6,80,"403,837",3,1150
Denmark,7/1/05 0:00,Europe,European Union,,$257.68B,$47.5K,9,$0.0B,,78,"5,419,432",,1151
Italy,7/1/05 0:00,Europe,European Union,,"$1,786.28B",$30.5K,9,$0.0B,5,81,"58,607,043",,1152
Sweden,7/1/05 0:00,Europe,European Union,1,$370.58B,$41.0K,9,$0.0B,3,81,"9,029,572",2,1153
Portugal,7/1/05 0:00,Europe,European Union,,$191.85B,$18.2K,10,$0.0B,,78,"10,549,424",,1154
Austria,7/1/05 0:00,Europe,European Union,,$304.98B,$37.1K,10,$0.0B,,79,"8,227,829",,1155
Belgium,7/1/05 0:00,Europe,European Union,,$377.35B,$36.0K,10,$0.0B,7,79,"10,478,617",,1156
Greece,7/1/05 0:00,Europe,European Union,2,$240.08B,$21.6K,10,$0.0B,,79,"11,103,965",,1157
Netherlands,7/1/05 0:00,Europe,European Union,2,$638.47B,$39.1K,10,$0.0B,3,79,"16,319,868",1,1158
Germany,7/1/05 0:00,Europe,European Union,,"$2,766.25B",$33.5K,11,$0.0B,,79,"82,469,422",,1159
France,7/1/05 0:00,Europe,European Union,2,"$2,136.56B",$33.8K,11,$0.0B,,80,"63,175,934",,1160
Isle of Man,7/1/05 0:00,Europe,Independent,,$2.92B,$36.4K,,,,,"79,994",,1161
Liechtenstein,7/1/05 0:00,Europe,Independent,,$3.66B,$105.4K,,,,,"34,696",,1162
Kosovo,7/1/05 0:00,Europe,Independent,3,$3.74B,$2.2K,,,14,69,"1,705,780",11,1163
Faeroe Islands,7/1/05 0:00,Europe,Independent,,$1.73B,$35.9K,,,,79,"48,258",,1164
Monaco,7/1/05 0:00,Europe,Independent,,$4.28B,$121.4K,4,$0.0B,,,"35,260",,1165
Russian Federation,7/1/05 0:00,Europe,Independent,4,$764.00B,$5.3K,5,$0.0B,11,65,"143,150,000",7,1166
Turkey,7/1/05 0:00,Europe,Independent,20,$482.98B,$7.1K,5,$0.0B,,72,"68,143,186",,1167
Andorra,7/1/05 0:00,Europe,Independent,,$2.54B,$32.6K,7,$0.0B,,,"77,888",,1168
Ukraine,7/1/05 0:00,Europe,Independent,9,$86.14B,$1.8K,7,$0.0B,16,68,"47,105,150",7,1169
Belarus,7/1/05 0:00,Europe,Independent,9,$30.21B,$3.1K,7,$0.0B,11,69,"9,775,591",2,1170
Croatia,7/1/05 0:00,Europe,Independent,2,$44.82B,$10.1K,7,$0.0B,11,75,"4,442,000",9,1171
Albania,7/1/05 0:00,Europe,Independent,5,$8.38B,$2.7K,7,$0.0B,13,76,"3,141,800",8,1172
San Marino,7/1/05 0:00,Europe,Independent,1,$1.38B,$45.4K,7,$0.0B,7,82,"30,301",6,1173
Moldova,7/1/05 0:00,Europe,Independent,13,$2.99B,$0.8K,8,$0.0B,19,68,"3,595,182",6,1174
"Macedonia, FYR",7/1/05 0:00,Europe,Independent,5,$5.99B,$2.9K,8,$0.0B,12,74,"2,038,109",7,1175
Serbia,7/1/05 0:00,Europe,Independent,4,$25.23B,$3.4K,9,$0.0B,17,73,"7,440,769",13,1176
Montenegro,7/1/05 0:00,Europe,Independent,5,$2.26B,$3.6K,9,$0.0B,,74,"626,739",,1177
Bosnia and Herzegovina,7/1/05 0:00,Europe,Independent,4,$10.95B,$2.9K,9,$0.0B,10,75,"3,781,001",6,1178
Norway,7/1/05 0:00,Europe,Independent,2,$304.06B,$65.8K,9,$0.0B,4,80,"4,623,291",2,1179
Iceland,7/1/05 0:00,Europe,Independent,,$16.29B,$54.9K,10,$0.0B,15,81,"296,734",,1180
Switzerland,7/1/05 0:00,Europe,Independent,1,$372.48B,$50.1K,11,$0.0B,3,81,"7,437,115",2,1181
Kuwait,7/1/05 0:00,Middle East,,3,$80.80B,$35.7K,2,$0.0B,7,74,"2,264,014",4,1182
Oman,7/1/05 0:00,Middle East,,3,$30.91B,$12.7K,3,$0.0B,7,74,"2,429,510",4,1183
United Arab Emirates,7/1/05 0:00,Middle East,,,$180.62B,$44.4K,3,$0.0B,,76,"4,069,349",,1184
Qatar,7/1/05 0:00,Middle East,,3,$43.04B,$52.4K,3,$0.0B,7,77,"820,986",4,1185
Iraq,7/1/05 0:00,Middle East,,7,$31.32B,$1.1K,4,$0.0B,13,68,"27,598,437",6,1186
Saudi Arabia,7/1/05 0:00,Middle East,,,$315.58B,$13.1K,4,$0.0B,,73,"24,041,116",,1187
Bahrain,7/1/05 0:00,Middle East,,3,$13.46B,$18.6K,4,$0.0B,8,74,"724,807",5,1188
Syrian Arab Republic,7/1/05 0:00,Middle East,,9,$28.86B,$1.6K,4,$0.0B,8,75,"18,484,122",-1,1189
"Yemen, Rep.",7/1/05 0:00,Middle East,,13,$16.75B,$0.8K,5,$0.0B,18,63,"20,648,643",5,1190
"Iran, Islamic Rep.",7/1/05 0:00,Middle East,,12,$192.01B,$2.8K,6,$0.0B,16,71,"69,732,007",4,1191
Lebanon,7/1/05 0:00,Middle East,,8,$21.86B,$5.4K,8,$0.0B,11,71,"4,052,420",3,1192
Israel,7/1/05 0:00,Middle East,,3,$133.96B,$19.3K,8,$0.0B,6,80,"6,930,100",3,1193
Jordan,7/1/05 0:00,Middle East,,3,$12.59B,$2.3K,9,$0.0B,8,73,"5,411,500",5,1194
American Samoa,7/1/05 0:00,Oceania,,,,,,,,,"62,962",,1195
French Polynesia,7/1/05 0:00,Oceania,,,,,,,,74,"254,870",,1196
Guam,7/1/05 0:00,Oceania,,,,,,,,75,"168,565",,1197
New Caledonia,7/1/05 0:00,Oceania,,,,,,,,75,"234,393",,1198
Papua New Guinea,7/1/05 0:00,Oceania,,1,$4.90B,$0.8K,4,$0.0B,11,61,"6,095,437",10,1199
Fiji,7/1/05 0:00,Oceania,,2,$3.01B,$3.7K,4,$0.0B,7,69,"822,553",5,1200
Vanuatu,7/1/05 0:00,Oceania,,2,$0.39B,$1.9K,4,$0.0B,7,69,"211,170",5,1201
Solomon Islands,7/1/05 0:00,Oceania,,1,$0.41B,$0.9K,5,$0.0B,14,65,"469,805",13,1202
Tonga,7/1/05 0:00,Oceania,,6,$0.26B,$2.6K,5,$0.0B,11,71,"100,926",5,1203
Samoa,7/1/05 0:00,Oceania,,4,$0.41B,$2.3K,6,$0.0B,11,71,"180,237",7,1204
Australia,7/1/05 0:00,Oceania,,4,$696.47B,$34.1K,8,$0.0B,9,81,"20,394,800",5,1205
New Zealand,7/1/05 0:00,Oceania,,7,$113.08B,$27.4K,9,$0.0B,8,80,"4,133,900",1,1206
Kiribati,7/1/05 0:00,Oceania,,,$0.11B,$1.2K,11,$0.0B,,61,"91,988",,1207
"Micronesia, Fed. Sts.",7/1/05 0:00,Oceania,,2,$0.25B,$2.3K,13,$0.0B,16,68,"109,419",14,1208
Marshall Islands,7/1/05 0:00,Oceania,,,$0.14B,$2.6K,14,$0.0B,,,"52,037",,1209
Cayman Islands,7/1/05 0:00,The Americas,Caribbean,,,,,,,,"52,268",,1210
Curacao,7/1/05 0:00,The Americas,Caribbean,,,,,,,,"134,465",,1211
Sint Maarten (Dutch part),7/1/05 0:00,The Americas,Caribbean,,,,,,,,"36,936",,1212
St. Martin (French part),7/1/05 0:00,The Americas,Caribbean,,,,,,,,"27,906",,1213
Turks and Caicos Islands,7/1/05 0:00,The Americas,Caribbean,,,,,,,,"30,531",,1214
Aruba,7/1/05 0:00,The Americas,Caribbean,4,,,,,12,74,"100,996",8,1215
Puerto Rico,7/1/05 0:00,The Americas,Caribbean,,$82.81B,$21.7K,,,,78,"3,821,362",,1216
Virgin Islands (U.S.),7/1/05 0:00,The Americas,Caribbean,,,,,,,79,"109,599",,1217
Haiti,7/1/05 0:00,The Americas,Caribbean,4,$4.15B,$0.4K,4,$0.0B,41,60,"9,347,262",37,1218
Jamaica,7/1/05 0:00,The Americas,Caribbean,8,$11.30B,$4.3K,4,$0.0B,17,71,"2,650,400",9,1219
Antigua and Barbuda,7/1/05 0:00,The Americas,Caribbean,4,$1.02B,$12.2K,5,$0.0B,11,,"83,916",7,1220
St. Kitts and Nevis,7/1/05 0:00,The Americas,Caribbean,5,$0.51B,$10.4K,5,$0.0B,10,,"49,173",5,1221
Dominican Republic,7/1/05 0:00,The Americas,Caribbean,14,$34.00B,$3.7K,5,$0.0B,24,72,"9,264,267",10,1222
Dominica,7/1/05 0:00,The Americas,Caribbean,3,$0.37B,$5.3K,6,$0.0B,10,,"68,925",7,1223
Trinidad and Tobago,7/1/05 0:00,The Americas,Caribbean,2,$16.09B,$12.2K,6,$0.0B,9,69,"1,315,386",7,1224
St. Vincent and the Grenadines,7/1/05 0:00,The Americas,Caribbean,3,$0.55B,$5.1K,6,$0.0B,10,71,"108,755",7,1225
St. Lucia,7/1/05 0:00,The Americas,Caribbean,3,$0.88B,$5.4K,6,$0.0B,11,73,"164,330",8,1226
"Bahamas, The",7/1/05 0:00,The Americas,Caribbean,3,$7.71B,$24.1K,6,$0.0B,6,74,"319,358",3,1227
Grenada,7/1/05 0:00,The Americas,Caribbean,3,$0.70B,$6.8K,6,$0.0B,10,75,"102,734",7,1228
Barbados,7/1/05 0:00,The Americas,Caribbean,3,$3.01B,$11.1K,7,$0.0B,9,76,"270,503",6,1229
Cuba,7/1/05 0:00,The Americas,Caribbean,,$42.64B,$3.8K,9,$0.0B,,78,"11,254,242",,1230
Belize,7/1/05 0:00,The Americas,Central America,8,$1.11B,$3.8K,4,$0.0B,14,75,"291,800",6,1231
Guatemala,7/1/05 0:00,The Americas,Central America,4,$27.21B,$2.1K,6,$0.0B,13,70,"12,717,154",9,1232
Honduras,7/1/05 0:00,The Americas,Central America,11,$9.71B,$1.4K,6,$0.0B,19,71,"6,879,243",8,1233
Mexico,7/1/05 0:00,The Americas,Central America,3,$848.95B,$8.0K,6,$0.0B,10,75,"106,483,757",7,1234
El Salvador,7/1/05 0:00,The Americas,Central America,,$17.09B,$2.8K,7,$0.0B,,71,"6,050,513",,1235
Panama,7/1/05 0:00,The Americas,Central America,3,$15.46B,$4.8K,7,$0.0B,9,75,"3,238,321",6,1236
Nicaragua,7/1/05 0:00,The Americas,Central America,4,$4.87B,$0.9K,8,$0.0B,12,72,"5,424,336",8,1237
Costa Rica,7/1/05 0:00,The Americas,Central America,10,$19.96B,$4.6K,8,$0.0B,25,79,"4,309,413",15,1238
Greenland,7/1/05 0:00,The Americas,North America,,$1.70B,$29.9K,,,,,"56,935",,1239
Bermuda,7/1/05 0:00,The Americas,North America,,$4.87B,$76.5K,,,,79,"63,600",,1240
Canada,7/1/05 0:00,The Americas,North America,1,"$1,133.76B",$35.1K,9,$0.0B,4,80,"32,312,000",3,1241
United States,7/1/05 0:00,The Americas,North America,,"$12,564.30B",$42.5K,15,$0.0B,6,77,"295,516,599",,1242
Peru,7/1/05 0:00,The Americas,South America,3,$79.39B,$2.9K,4,$0.0B,26,72,"27,558,769",23,1243
"Venezuela, RB",7/1/05 0:00,The Americas,South America,12,$145.51B,$5.5K,5,$0.0B,17,73,"26,577,000",5,1244
Ecuador,7/1/05 0:00,The Americas,South America,4,$36.94B,$2.8K,5,$0.0B,10,75,"13,426,402",6,1245
Bolivia,7/1/05 0:00,The Americas,South America,5,$9.55B,$1.0K,6,$0.0B,17,65,"9,146,655",12,1246
Colombia,7/1/05 0:00,The Americas,South America,7,$146.52B,$3.4K,6,$0.0B,15,72,"43,040,558",8,1247
Guyana,7/1/05 0:00,The Americas,South America,3,$0.82B,$1.1K,7,$0.0B,15,67,"746,235",12,1248
Suriname,7/1/05 0:00,The Americas,South America,7,$1.79B,$3.6K,7,$0.0B,17,69,"499,294",10,1249
Paraguay,7/1/05 0:00,The Americas,South America,2,$7.47B,$1.3K,7,$0.0B,30,71,"5,897,816",28,1250
Chile,7/1/05 0:00,The Americas,South America,4,$123.06B,$7.5K,7,$0.0B,7,78,"16,301,726",3,1251
Brazil,7/1/05 0:00,The Americas,South America,18,$882.19B,$4.7K,8,$0.0B,55,72,"185,986,964",37,1252
Argentina,7/1/05 0:00,The Americas,South America,4,$183.19B,$4.7K,8,$0.0B,6,75,"38,681,174",2,1253
Uruguay,7/1/05 0:00,The Americas,South America,3,$17.36B,$5.3K,8,$0.0B,14,76,"3,305,723",11,1254
Zimbabwe,7/1/06 0:00,Centro Oeste,Brasilia,203,$5.44B,$0.4K,,,496,45,"12,529,655",293,1255
Somalia,7/1/06 0:00,Centro Oeste,Brasilia,,,,,,,50,"8,547,497",,1256
Eritrea,7/1/06 0:00,Centro Oeste,Brasilia,,$1.21B,$0.3K,3,$0.0B,,59,"4,645,837",,1257
Ethiopia,7/1/06 0:00,Centro Oeste,Brasilia,4,$15.16B,$0.2K,4,$0.0B,7,56,"75,993,403",3,1258
Comoros,7/1/06 0:00,Centro Oeste,Brasilia,3,$0.40B,$0.6K,4,$0.0B,11,59,"660,559",8,1259
Madagascar,7/1/06 0:00,Centro Oeste,Brasilia,22,$5.52B,$0.3K,4,$0.0B,30,65,"18,426,870",8,1260
Seychelles,7/1/06 0:00,Centro Oeste,Brasilia,2,$1.02B,$12.1K,4,$0.0B,10,72,"84,600",8,1261
Mauritius,7/1/06 0:00,Centro Oeste,Brasilia,10,$6.51B,$5.2K,4,$0.0B,21,72,"1,252,698",11,1262
Mozambique,7/1/06 0:00,Centro Oeste,Brasilia,10,$7.10B,$0.3K,5,$0.0B,19,48,"21,290,952",9,1263
Kenya,7/1/06 0:00,Centro Oeste,Brasilia,5,$22.50B,$0.6K,5,$0.0B,14,54,"36,540,948",9,1264
Zambia,7/1/06 0:00,Centro Oeste,Brasilia,10,$10.70B,$0.9K,6,$0.0B,23,45,"11,750,105",13,1265
Tanzania,7/1/06 0:00,Centro Oeste,Brasilia,7,$14.33B,$0.4K,7,$0.0B,16,54,"39,923,609",9,1266
Djibouti,7/1/06 0:00,Centro Oeste,Brasilia,,$0.77B,$0.9K,7,$0.0B,,56,"823,682",,1267
Malawi,7/1/06 0:00,Centro Oeste,Brasilia,11,$3.12B,$0.2K,9,$0.0B,32,50,"13,195,329",21,1268
Uganda,7/1/06 0:00,Centro Oeste,Brasilia,9,$9.98B,$0.3K,9,$0.0B,19,51,"29,370,251",10,1269
Rwanda,7/1/06 0:00,Centro Oeste,Brasilia,8,$3.11B,$0.3K,11,$0.0B,16,53,"9,441,406",8,1270
Burundi,7/1/06 0:00,Centro Oeste,Brasilia,,$1.24B,$0.2K,14,$0.0B,17,48,"7,474,363",,1271
Angola,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,5,$41.79B,$2.5K,2,$0.0B,20,49,"17,010,366",15,1272
Equatorial Guinea,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$9.60B,$15.3K,2,$0.0B,15,50,"625,777",11,1273
"Congo, Rep.",7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$7.73B,$2.1K,2,$0.0B,15,55,"3,628,561",11,1274
Gabon,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$9.55B,$6.8K,3,$0.0B,,60,"1,397,192",,1275
Central Centro Oesten Republic,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$1.48B,$0.4K,4,$0.0B,15,45,"4,087,534",11,1276
Chad,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$6.10B,$0.6K,4,$0.0B,15,48,"10,084,087",11,1277
Cameroon,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,4,$17.96B,$1.0K,5,$0.0B,15,50,"17,948,395",11,1278
"Congo, Dem. Rep.",7/1/06 0:00,Centro Oeste,Middle Centro Oeste,,$8.82B,$0.1K,6,$0.0B,46,47,"59,088,415",,1279
Sao Tome and Principe,7/1/06 0:00,Centro Oeste,Middle Centro Oeste,11,$0.12B,$0.8K,8,$0.0B,29,63,"154,970",18,1280
South Sudan,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,,,,,,,,"7,968,599",,1281
Libya,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,3,$56.48B,$9.6K,2,$0.0B,6,74,"5,893,738",3,1282
Algeria,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,2,$117.17B,$3.5K,3,$0.0B,8,72,"33,391,954",6,1283
Sudan,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,,$36.39B,$0.9K,5,$0.0B,,60,"31,400,127",,1284
Morocco,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,4,$65.64B,$2.1K,5,$0.0B,,71,"30,702,084",,1285
"Egypt, Arab Rep.",7/1/06 0:00,Centro Oeste,Northern Centro Oeste,6,$107.48B,$1.4K,5,$0.0B,13,72,"75,568,453",7,1286
Tunisia,7/1/06 0:00,Centro Oeste,Northern Centro Oeste,,$34.38B,$3.4K,6,$0.0B,,74,"10,127,900",,1287
Swaziland,7/1/06 0:00,Centro Oeste,Southern Centro Oeste,5,$2.95B,$2.9K,6,$0.0B,11,46,"1,018,758",6,1288
Lesotho,7/1/06 0:00,Centro Oeste,Southern Centro Oeste,5,$1.43B,$0.7K,7,$0.0B,12,45,"2,085,561",7,1289
Botswana,7/1/06 0:00,Centro Oeste,Southern Centro Oeste,9,$11.26B,$5.9K,7,$0.0B,16,51,"1,900,905",7,1290
Namibia,7/1/06 0:00,Centro Oeste,Southern Centro Oeste,6,$7.98B,$3.8K,7,$0.0B,11,59,"2,118,653",5,1291
South Centro Oeste,7/1/06 0:00,Centro Oeste,Southern Centro Oeste,7,$261.01B,$5.5K,9,$0.0B,11,51,"47,730,946",4,1292
Mauritania,7/1/06 0:00,Centro Oeste,Western Centro Oeste,8,$3.04B,$1.0K,4,$0.0B,24,57,"3,129,959",16,1293
Ghana,7/1/06 0:00,Centro Oeste,Western Centro Oeste,9,$20.39B,$0.9K,4,$0.0B,,62,"22,170,556",,1294
Guinea,7/1/06 0:00,Centro Oeste,Western Centro Oeste,,$2.82B,$0.3K,5,$0.0B,,52,"9,201,941",,1295
Cote d'Ivoire,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$17.37B,$0.9K,5,$0.0B,,52,"18,325,979",,1296
Benin,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$4.73B,$0.6K,5,$0.0B,,54,"7,871,707",,1297
Cape Verde,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$1.11B,$2.3K,5,$0.0B,10,73,"478,267",6,1298
Guinea-Bissau,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$0.58B,$0.4K,6,$0.0B,,46,"1,395,492",,1299
Mali,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$5.87B,$0.4K,6,$0.0B,,49,"13,592,796",,1300
Nigeria,7/1/06 0:00,Centro Oeste,Western Centro Oeste,10,$146.87B,$1.0K,6,$0.0B,17,50,"143,338,939",7,1301
Niger,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$3.65B,$0.3K,6,$0.0B,,52,"13,460,138",,1302
Burkina Faso,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$5.84B,$0.4K,6,$0.0B,,53,"14,622,202",,1303
"Gambia, The",7/1/06 0:00,Centro Oeste,Western Centro Oeste,13,$0.67B,$0.4K,6,$0.0B,30,57,"1,547,259",17,1304
Senegal,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$9.38B,$0.8K,6,$0.0B,,58,"11,169,549",,1305
Liberia,7/1/06 0:00,Centro Oeste,Western Centro Oeste,3,$0.60B,$0.2K,7,$0.0B,16,53,"3,313,718",13,1306
Togo,7/1/06 0:00,Centro Oeste,Western Centro Oeste,4,$2.20B,$0.4K,7,$0.0B,,55,"5,529,908",,1307
Sierra Leone,7/1/06 0:00,Centro Oeste,Western Centro Oeste,10,$1.42B,$0.3K,11,$0.0B,24,45,"5,327,364",14,1308
"Korea, Dem. Rep.",7/1/06 0:00,Asia,,,,,,,,68,"23,882,465",,1309
"Macao SAR, China",7/1/06 0:00,Asia,,3,$14.57B,$29.5K,,,9,80,"493,267",6,1310
"Hong Kong SAR, China",7/1/06 0:00,Asia,,3,$189.93B,$27.7K,,,8,82,"6,857,100",5,1311
Myanmar,7/1/06 0:00,Asia,,11,,,2,$0.0B,16,63,"46,605,278",5,1312
Brunei Darussalam,7/1/06 0:00,Asia,,1,$11.47B,$31.0K,2,$0.0B,6,77,"370,317",5,1313
Pakistan,7/1/06 0:00,Asia,,4,$127.50B,$0.8K,3,$0.0B,11,64,"161,513,324",7,1314
Turkmenistan,7/1/06 0:00,Asia,,,$10.28B,$2.1K,3,$0.0B,,65,"4,801,847",,1315
Bangladesh,7/1/06 0:00,Asia,,9,$61.90B,$0.4K,3,$0.0B,15,67,"142,353,501",6,1316
Indonesia,7/1/06 0:00,Asia,,11,$364.57B,$1.6K,3,$0.0B,16,67,"229,918,547",5,1317
Philippines,7/1/06 0:00,Asia,,5,$122.21B,$1.4K,3,$0.0B,10,68,"87,116,275",5,1318
Thailand,7/1/06 0:00,Asia,,4,$207.09B,$3.1K,3,$0.0B,7,73,"67,276,383",3,1319
Singapore,7/1/06 0:00,Asia,,1,$139.13B,$31.6K,3,$0.0B,5,80,"4,401,400",4,1320
India,7/1/06 0:00,Asia,,,$949.12B,$0.8K,4,$0.0B,11,64,"1,157,038,539",,1321
Lao PDR,7/1/06 0:00,Asia,,5,$3.45B,$0.6K,4,$0.0B,30,65,"5,841,572",25,1322
Kazakhstan,7/1/06 0:00,Asia,,,$81.00B,$5.3K,4,$0.0B,,66,"15,308,085",,1323
Mongolia,7/1/06 0:00,Asia,,13,$3.40B,$1.3K,4,$0.0B,27,67,"2,584,143",14,1324
Malaysia,7/1/06 0:00,Asia,,3,$156.60B,$5.9K,4,$0.0B,6,73,"26,586,287",3,1325
Armenia,7/1/06 0:00,Asia,,6,$6.38B,$2.1K,4,$0.0B,17,73,"3,069,844",11,1326
Sri Lanka,7/1/06 0:00,Asia,,7,$28.27B,$1.4K,4,$0.0B,13,74,"19,858,000",6,1327
Bhutan,7/1/06 0:00,Asia,,5,$0.90B,$1.3K,5,$0.0B,14,65,"674,681",9,1328
Nepal,7/1/06 0:00,Asia,,2,$9.07B,$0.3K,5,$0.0B,8,66,"27,833,665",6,1329
Tajikistan,7/1/06 0:00,Asia,,9,$2.83B,$0.4K,5,$0.0B,14,66,"6,524,634",5,1330
China,7/1/06 0:00,Asia,,3,"$2,712.95B",$2.1K,5,$0.0B,6,72,"1,311,020,000",3,1331
Uzbekistan,7/1/06 0:00,Asia,,,$17.03B,$0.6K,6,$0.0B,,67,"26,488,200",,1332
Kyrgyz Republic,7/1/06 0:00,Asia,,6,$2.83B,$0.5K,6,$0.0B,23,68,"5,218,400",17,1333
Azerbaijan,7/1/06 0:00,Asia,,11,$20.98B,$2.5K,6,$0.0B,18,69,"8,484,550",7,1334
Vietnam,7/1/06 0:00,Asia,,8,$60.91B,$0.7K,6,$0.0B,11,74,"83,313,000",3,1335
"Korea, Rep.",7/1/06 0:00,Asia,,5,$951.77B,$19.7K,6,$0.0B,6,79,"48,372,000",1,1336
Afghanistan,7/1/06 0:00,Asia,,,$7.72B,$0.3K,7,$0.0B,18,47,"30,751,661",,1337
Maldives,7/1/06 0:00,Asia,,7,$1.30B,$4.4K,7,$0.0B,13,75,"299,419",6,1338
Georgia,7/1/06 0:00,Asia,,11,$7.75B,$1.8K,8,$0.0B,19,73,"4,398,000",8,1339
Japan,7/1/06 0:00,Asia,,1,"$4,356.76B",$34.1K,8,$0.0B,2,82,"127,756,000",1,1340
Cambodia,7/1/06 0:00,Asia,,2,$7.27B,$0.5K,10,$0.0B,,61,"13,515,884",,1341
Timor-Leste,7/1/06 0:00,Asia,,1,$0.45B,$0.4K,18,$0.0B,17,60,"1,014,439",16,1342
Romania,7/1/06 0:00,Europe,European Union,5,$122.64B,$5.7K,5,$0.0B,14,72,"21,587,666",9,1343
Estonia,7/1/06 0:00,Europe,European Union,3,$16.80B,$12.5K,5,$0.0B,5,73,"1,343,547",2,1344
Lithuania,7/1/06 0:00,Europe,European Union,3,$30.09B,$8.9K,6,$0.0B,5,71,"3,394,082",2,1345
Poland,7/1/06 0:00,Europe,European Union,2,$341.67B,$9.0K,6,$0.0B,5,75,"38,141,267",3,1346
Cyprus,7/1/06 0:00,Europe,European Union,3,$18.44B,$23.9K,6,$0.0B,7,79,"1,048,272",4,1347
Latvia,7/1/06 0:00,Europe,European Union,4,$19.94B,$8.7K,7,$0.0B,7,71,"2,287,948",3,1348
Bulgaria,7/1/06 0:00,Europe,European Union,3,$33.21B,$4.3K,7,$0.0B,9,73,"7,699,020",6,1349
Slovak Republic,7/1/06 0:00,Europe,European Union,4,$69.00B,$12.8K,7,$0.0B,8,74,"5,391,409",4,1350
Czech Republic,7/1/06 0:00,Europe,European Union,1,$148.35B,$14.4K,7,$0.0B,6,77,"10,269,134",5,1351
Ireland,7/1/06 0:00,Europe,European Union,,$223.67B,$52.5K,7,$0.0B,,79,"4,260,341",,1352
Hungary,7/1/06 0:00,Europe,European Union,7,$112.53B,$11.2K,8,$0.0B,8,73,"10,071,370",1,1353
Slovenia,7/1/06 0:00,Europe,European Union,3,$38.95B,$19.4K,8,$0.0B,7,78,"2,006,868",4,1354
Finland,7/1/06 0:00,Europe,European Union,,$207.95B,$39.5K,8,$0.0B,,79,"5,266,268",,1355
United Kingdom,7/1/06 0:00,Europe,European Union,,"$2,444.58B",$40.3K,8,$0.0B,5,79,"60,595,632",,1356
Luxembourg,7/1/06 0:00,Europe,European Union,,$42.55B,$90.0K,8,$0.0B,,80,"472,637",,1357
Spain,7/1/06 0:00,Europe,European Union,,"$1,236.35B",$28.0K,8,$0.0B,,81,"44,116,441",,1358
Malta,7/1/06 0:00,Europe,European Union,3,$6.39B,$15.7K,9,$0.0B,6,79,"406,408",3,1359
Sweden,7/1/06 0:00,Europe,European Union,,$399.08B,$43.9K,9,$0.0B,,81,"9,080,505",,1360
Italy,7/1/06 0:00,Europe,European Union,,"$1,872.98B",$31.8K,9,$0.0B,6,81,"58,941,499",,1361
Denmark,7/1/06 0:00,Europe,European Union,,$274.38B,$50.5K,10,$0.0B,,78,"5,437,272",,1362
Portugal,7/1/06 0:00,Europe,European Union,,$201.79B,$19.1K,10,$0.0B,,78,"10,584,344",,1363
Greece,7/1/06 0:00,Europe,European Union,,$262.05B,$23.5K,10,$0.0B,,79,"11,148,460",,1364
Austria,7/1/06 0:00,Europe,European Union,,$324.95B,$39.3K,10,$0.0B,,80,"8,268,641",,1365
Belgium,7/1/06 0:00,Europe,European Union,,$399.97B,$37.9K,10,$0.0B,7,80,"10,547,958",,1366
Netherlands,7/1/06 0:00,Europe,European Union,3,$677.69B,$41.5K,10,$0.0B,4,80,"16,346,101",1,1367
Germany,7/1/06 0:00,Europe,European Union,,"$2,902.75B",$35.2K,11,$0.0B,,79,"82,376,451",,1368
France,7/1/06 0:00,Europe,European Union,2,"$2,255.71B",$35.5K,11,$0.0B,,81,"63,617,567",,1369
Isle of Man,7/1/06 0:00,Europe,Independent,,$3.44B,$42.6K,,,,,"80,598",,1370
Liechtenstein,7/1/06 0:00,Europe,Independent,,$3.99B,$114.0K,,,,,"34,995",,1371
Kosovo,7/1/06 0:00,Europe,Independent,3,$3.92B,$2.3K,,,15,69,"1,719,536",12,1372
Faeroe Islands,7/1/06 0:00,Europe,Independent,,$1.97B,$40.6K,,,,79,"48,475",,1373
